name,label,varName,unit,quantity
Lycopene (µg),Lycopene,LYCO,µg,
25-hydroxy vitamin D3 (µg),25-hydroxy vitamin D3,25OHD3,µg,
Cholecalciferol (µg),Cholecalciferol,VITD3,µg,
5-mehtyl folate (µg),5-methyl folate,5METHF,µg,
Alpha-tocopherol (mg),Alpha-tocopherol,ATOPH,mg,
Beta-tocopherol (mg),Beta-tocopherol,BTOPH,mg,
Delta-tocopherol (mg),Delta-tocopherol,DTOPH,mg,
Gamma-tocopherol (mg),Gamma-tocopherol,GTOPH,mg,
Alpha-tocotrienol (mg),Alpha-tocotrienol,ATOTR,mg,
Gamma-tocotrienol (mg),Gamma-tocotrienol,GTOTR,mg,
C4:0 /100g FA (g),Butanoic acid per 100g fatty acids,FAC4_0Per100gFA,g,
C6:0 /100g FA (g),Hexanoic acid per 100g fatty acids,FAC6_0Per100gFA,g,
C8:0 /100g FA (g),Octanoic acid per 100g fatty acids,FAC8_0Per100gFA,g,
C10:0 /100g FA (g),Decanoic acid per 100g fatty acids,FAC10_0Per100gFA,g,
C11:0 ex Br /100g FA (g),ex Br Undecanoic acid per 100g fatty acids,FAC11_0xbPer100gFA,g,
C12:0 /100g FA (g),Dodecanoic acid per 100g fatty acids,FAC12_0Per100gFA,g,
C12:0 ex Br /100g FA (g),ex Br Dodecanoic acid per 100g fatty acids,FAC12_0xbPer100gFA,g,
C13:0 /100g FA (g),Tridecanoic acid per 100g fatty acids,FAC13_0Per100gFA,g,
C13:0 ex Br /100g FA (g),ex Br Tridecanoic acid per 100g fatty acids,FAC13_0xbPer100gFA,g,
C14:0 /100g FA (g),Tetradecanoic acid per 100g fatty acids,FAC14_0Per100gFA,g,
C14:0 ex Br /100g FA (g),ex Br Tetradecanoic acid per 100g fatty acids,FAC14_0xbPer100gFA,g,
C15:0 /100g FA (g),Pentadecanoic acid per 100g fatty acids,FAC15_0Per100gFA,g,
C15:0 ex Br /100g FA (g),ex Br Pentadecanoic acid per 100g fatty acids,FAC15_0xbPer100gFA,g,
C16:0 /100g FA (g),Hexadecanoic acid per 100g fatty acids,FAC16_0Per100gFA,g,
C16:0 ex Br /100g FA (g),ex Br Hexadecanoic acid per 100g fatty acids,FAC16_0xbPer100gFA,g,
C17:0 /100g FA (g),Heptadecanoic acid per 100g fatty acids,FAC17_0Per100gFA,g,
C17:0 ex Br /100g FA (g),ex Br Heptadecanoic acid per 100g fatty acids,FAC17_0xbPer100gFA,g,
C18:0 /100g FA (g),Octadecanoic acid per 100g fatty acids,FAC18_0Per100gFA,g,
C18:0 ex Br /100g FA (g),ex Br Octadecanoic acid per 100g fatty acids,FAC18_0xbPer100gFA,g,
C19:0 /100g FA (g),Nonadecanoic acid per 100g fatty acids,FAC19_0Per100gFA,g,
C20:0 /100g FA (g),Eicosanoic acid per 100g fatty acids,FAC20_0Per100gFA,g,
C20:0 ex Br /100g FA (g),ex Br Eicosanoic acid per 100g fatty acids,FAC20_0xbPer100gFA,g,
C22:0 /100g FA (g),Docosanoic acid per 100g fatty acids,FAC22_0Per100gFA,g,
C22:0 ex Br /100g FA (g),ex Br Docosanoic acid per 100g fatty acids,FAC22_0xbPer100gFA,g,
C24:0 /100g FA (g),Tetracosanoic acid per 100g fatty acids,FAC24_0Per100gFA,g,
C24:0 ex Br /100g FA (g),ex Br Tetracosanoic acid per 100g fatty acids,FAC24_0xbPer100gFA,g,
C25:0 ex Br /100g FA (g),ex Br Pentacosanoic acid per 100g fatty acids,FAC25_0xbPer100gFA,g,
C4:0 /100g food (g),Butanoic acid per 100g food,FOD4_0,g,
C6:0 /100g food (g),Hexanoic acid per 100g food,FOD6_0,g,
C8:0 /100g food (g),Octanoic acid per 100g food,FOD8_0,g,
C10:0 /100g food (g),Decanoic acid per 100g food,FOD10_0,g,
C11:0 ex Br /100g food (g),Undecanoic acid per 100g food,FOD11_0xb,g,
C12:0 /100g food (g),Dodecanoic acid per 100g food,FOD12_0,g,
C12:0 ex Br /100g food (g),ex Br Dodecanoic acid per 100g food,FOD12_0xb,g,
C13:0 /100g food (g),Tridecanoic acid per 100g food,FOD13_0,g,
C13:0 ex Br /100g food (g),ex Br Tridecanoic acid per 100g food,FOD13_0xb,g,
C14:0 /100g food (g),Tetradecanoic acid per 100g food,FOD14_0,g,
C14:0 ex Br /100g food (g),ex Br Tetradecanoic acid per 100g food,FOD14_0xb,g,
C15:0 /100g food (g),Pentadecanoic acid per 100g food,FOD15_0,g,
C15:0 ex Br /100g food (g),ex Br Pentadecanoic acid per 100g food,FOD15_0xb,g,
C16:0 /100g food (g),Hexadecanoic acid per 100g food,FOD16_0,g,
C16:0 ex Br /100g food (g),ex Br Hexadecanoic acid per 100g food,FOD16_0xb,g,
C17:0 /100g food (g),Heptadecanoic acid per 100g food,FOD17_0,g,
C17:0 ex Br /100g food (g),ex Br Heptadecanoic acid per 100g food,FOD17_0xb,g,
C18:0 /100g food (g),Octadecanoic acid per 100g food,FOD18_0,g,
C18:0 ex Br /100g food (g),ex Br Octadecanoic acid per 100g food,FOD18_0xb,g,
C19:0 /100g food (g),Nonadecanoic acid per 100g food,FOD19_0,g,
C20:0 /100g food (g),Eicosanoic acid per 100g food,FOD20_0,g,
C20:0 ex Br /100g food (g),ex Br Eicosanoic acid per 100g food,FOD20_0xb,g,
C22:0 /100g food (g),Docosanoic acid per 100g food,FOD22_0,g,
